"EbeneNice";"PosTyp";"id_stu";"FA_Nr";"id_pos";"ueb_s_nr";"ds";"pos_nr";"verurs_art";"t_tg_nr";"oa";"Bezeichnung";"unipps_typ";"besch_art";"praeferenzkennung";"menge";"sme";"faktlme_sme";"lme";"bestell_id";"bestell_datum";"preis";"basis";"pme";"bme";"faktlme_bme";"faktbme_pme";"lieferant";"kurzname";"MengeTotal";"PreisEU";"PreisNonEU";"SummeEU";"SummeNonEU";"vk_netto"
"....5";"FA_Serie";"145K30485GGG019";"623870";;;;1;0;"";;"";"";;;1;;;;;;;;;;;;;"";1;0;0;23,3784;0;
".....6";"FA_Pos";"623870";"";1;0;3;10;;"145L30485GGGFT3";1;"Verbindungsstck";"NE/FK-Grße 0";;1;1;1;1;1;58612;"14;07;1905";3,06;1;7;1;1;7,64;3090180;"JÜRGENS";1;23,3784;0;23,3784;0;
"...4";"FA_Pos";"616033";"";6;1;3;60;;"210G28283SCB019";1;"Welle";"FK_O 40-25-160";;0;1;1;1;1;59205;"14;07;1905";68,9;1;1;1;1;1;3060550;"FEWES";1;0;68,9;0;68,9;
"...4";"FA_Pos";"616033";"";7;1;3;70;;"233AAN150PER135";1;"Linkslaufrad, halbof";"Ø150/135";;0;1;1;1;1;;;;;;;;;;"";1;0;0;0;715,623333333333;
"....5";"FA_Serie";"233AAN150PER135";"620654";;;;1;1;"";;"";"";;;1;;;;;;;;;;;;;"";1;0;0;0;715,623333333333;
".....6";"FA_Pos";"620654";"";1;0;3;10;;"233A28353PER003";1;"Linkslaufrad, halbof";"25-160";;0;1;1;1;1;;;;;;;;;;"";1;0;0;0;715,623333333333;
"......7";"FA_Serie";"233A28353PER003";"622326";;;;1;0;"";;"";"";;;1;;;;;;;;;;;;;"";1;0;0;0;715,623333333333;
".......8";"FA_Pos";"622326";"";1;0;3;10;;"233H28353PERFT3";1;"Linkslaufrad, halbof";"25-160";;1;1;1;1;1;;;;;;;;;;"";1;0;0;0;715,623333333333;
"........9";"Teil";"233H28353PERFT3";"";;;;10;;"544D28378NKM019";1;"Gewindebuchse";"NE/FK 40-25-160";;0;1;1;1;1;51604;"11;07;1905";3,84;1;1;1;1;1;3090460;"JADATEC";1;0;715,623333333333;0;715,623333333333;
"...4";"FA_Pos";"616033";"";8;1;3;80;;"321IA0550SKL003";1;"Rillenkugellager";"";;1;2;1;1;1;58027;"13;07;1905";8,92;1;1;1;1;1;3010380;"A+R";2;17,84;0;17,84;0;
"...4";"FA_Pos";"616033";"";9;1;3;90;;"340D28347GGG019";1;"Lagerlaterne";"FK Grße 0";;0;1;1;1;1;;;;;;;;;;"";1;0;0;76,8551666666667;0;
"....5";"FA_Serie";"340D28347GGG019";"620796";;;;1;0;"";;"";"";;;1;;;;;;;;;;;;;"";1;0;0;76,8551666666667;0;
".....6";"FA_Pos";"620796";"";1;0;3;10;;"340E28347GGGFT3";1;"Lagerlaterne";"FK Grße 0";;1;1;1;1;1;58011;"13;07;1905";3,72;1;7;1;1;20,66;3090180;"JÜRGENS";1;76,8551666666667;0;76,8551666666667;0;
"...4";"FA_Pos";"616033";"";10;1;3;100;;"360B28354GGB019";1;"Lagerdeckel";"FK-Grße 0";;0;1;1;1;1;;;;;;;;;;"";1;0;0;3,58;0;
"....5";"FA_Serie";"360B28354GGB019";"607986";;;;1;0;"";;"";"";;;1;;;;;;;;;;;;;"";1;0;0;3,58;0;
".....6";"FA_Pos";"607986";"";1;0;3;10;;"361H28355GGBFT3";1;"Endlagerdeckel";"FK-Grße 0";;1;1;1;1;1;58559;"14;07;1905";3,58;1;1;1;1;1;4160040;"RADEM2";1;3,58;0;3,58;0;
"...4";"FA_Pos";"616033";"";11;1;3;110;;"361G28355GGB019";1;"Endlagerdeckel";"FK-Grße 0";;0;1;1;1;1;;;;;;;;;;"";1;0;0;3,58;0;
"....5";"FA_Serie";"361G28355GGB019";"607984";;;;1;0;"";;"";"";;;1;;;;;;;;;;;;;"";1;0;0;3,58;0;
".....6";"FA_Pos";"607984";"";1;0;3;10;;"361H28355GGBFT3";1;"Endlagerdeckel";"FK-Grße 0";;1;1;1;1;1;58559;"14;07;1905";3,58;1;1;1;1;1;4160040;"RADEM2";1;3,58;0;3,58;0;
"...4";"FA_Pos";"616033";"";12;1;3;120;;"412IA3269EVW533";1;"Runddichtring";"Ø 32,69 x Ø5,33";;1;1;1;1;1;57125;"13;07;1905";40,9;1;30;1;1;0,01;3070360;"GEHRCKENS";1;0,409;0;0,409;0;
"...4";"FA_Pos";"616033";"";13;1;3;130;;"412HA4699EVW533";1;"Runddichtring";"Ø 46,99 x Ø5,33";;1;1;1;1;1;59334;"14;07;1905";97,68;1;30;1;1;0,01;3070360;"GEHRCKENS";1;0,9768;0;0,9768;0;
"...4";"FA_Pos";"616033";"";14;1;3;140;;"412DC0914EVW353";1;"Runddichtring";"Ø209,14 x Ø3,53";;1;1;1;1;1;58896;"14;07;1905";170,43;1;30;1;1;0,01;3070360;"GEHRCKENS";1;1,70433333333333;0;1,70433333333333;0;
"...4";"FA_Pos";"616033";"";15;1;3;150;;"412HA2029EVW262";1;"Runddichtring";"Ø 20,29 x Ø2,62";;1;1;1;1;1;59215;"14;07;1905";14,63;1;30;1;1;0,01;3070360;"GEHRCKENS";1;0,14632;0;0,14632;0;
"...4";"FA_Pos";"616033";"";16;1;3;160;;"412FA2824EVW262";1;"Runddichtring";"Ø 28,24 x Ø2,62";;1;1;1;1;1;59368;"14;07;1905";53,41;1;30;1;1;0,01;3070360;"GEHRCKENS";1;0,5341;0;0,5341;0;
"...4";"FA_Pos";"616033";"";17;1;3;170;;"412HA6634EVW262";1;"Runddichtring";"Ø 66,34 x Ø2,62";;1;1;1;1;1;52975;"11;07;1905";41,27;1;30;1;1;0,01;3070360;"GEHRCKENS";1;0,4128;0;0,4128;0;
"...4";"FA_Pos";"616033";"";18;1;3;180;;"412LA4412EVW262";1;"Runddichtring";"Ø 44,12 x Ø2,62";;1;1;1;1;1;58632;"14;07;1905";24,33;1;30;1;1;0,01;3070360;"GEHRCKENS";1;0,2433;0;0,2433;0;
"...4";"FA_Pos";"616033";"";19;1;3;190;;"420DA0055EKN000";1;"V-Ring";"";;0;1;1;1;1;58435;"14;07;1905";63,19;1;30;1;1;0,01;3050460;"ERIKS";1;0;0,631933333333333;0;0,631933333333333;
"...4";"FA_Pos";"616033";"";20;1;3;200;;"420DA0055EKN000";1;"V-Ring";"";;0;1;1;1;1;58435;"14;07;1905";63,19;1;30;1;1;0,01;3050460;"ERIKS";1;0;0,631933333333333;0;0,631933333333333;
"...4";"FA_Pos";"616033";"";21;1;3;210;;"443C28371PEH019";1;"Dichtungseinsatz";"NE/FK 40-25-160";;0;1;1;1;1;;;;;;;;;;"";1;0;0;17,75;0;
"....5";"FA_Serie";"443C28371PEH019";"614684";;;;1;0;"";;"";"";;;1;;;;;;;;;;;;;"";1;0;0;17,75;0;
".....6";"FA_Pos";"614684";"";1;0;3;10;;"EROØ235x55";1;"Ronde, Dichtungseins";"NE 40-25-160";;1;1;1;1;1;59026;"14;07;1905";17,75;1;1;1;1;1;3140100;"OTTEN";1;17,75;0;17,75;0;
"...4";"FA_Pos";"616033";"";22;1;1;220;;"463C20152PPP039";1;"Auffangschale";"FK-Gr.0";;0;1;1;1;1;;;;;;;;;;"";1;0;0;2,71;0;
"....5";"FA_Pos";"616033";"";23;22;3;230;;"463C20152PPPFT3";1;"Auffangschale";"FK/NK/NE-Grße 0/1";;1;1;1;1;1;58468;"14;07;1905";2,71;1;1;1;1;1;3060470;"FORMZEUG";1;2,71;0;2,71;0;
"...4";"FA_Pos";"616033";"";24;1;3;240;;"472H28278ISA019";1;"Gleitring";"NE/FK/SP Gr. 0";;1;1;1;1;1;59106;"14;07;1905";34,89;1;1;1;1;1;3050310;"ESK / 3M";1;34,89;0;34,89;0;
"...4";"FA_Pos";"616033";"";25;1;3;250;;"474F28281TKF019";1;"Druckring";"Grße 0";;1;1;1;1;1;56306;"13;07;1905";863,99;1;30;1;1;0,01;3120090;"FREUDENBERG";1;8,6399;0;8,6399;0;
"...4";"FA_Pos";"616033";"";26;1;3;260;;"475E30115ISA019";1;"Gegenring";"Ø50/20x10";;1;1;1;1;1;59102;"14;07;1905";13,38;1;1;1;1;1;3050310;"ESK / 3M";1;13,38;0;13,38;0;
"...4";"FA_Pos";"616033";"";27;1;3;270;;"477L30224BHF009";1;"Feder fr GLRD";"Grße 0";;0;1;1;1;1;;;;;;;;;;"";1;0;0;1,93;0;
"....5";"Teil";"477L30224BHF009";"";;;;5;;"477C30224SKG010";1;"Feder fr GLRD";"Grße 0";;1;1;1;1;1;57332;"13;07;1905";1,93;1;1;1;1;1;3100570;"KERPAL";1;1,93;0;1,93;0;
"....5";"Teil";"477L30224BHF009";"";;;;10;;"477H30224SKG01A";1;"Feder fr GLRD";"Grße 0";;0;0;1;1;1;;;;;;;;;;"";0;0;0;0;0;
".....6";"Teil";"477H30224SKG01A";"";;;;10;;"477C30224SKG010";1;"Feder fr GLRD";"Grße 0";;1;1;1;1;1;57332;"13;07;1905";1,93;1;1;1;1;1;3100570;"KERPAL";0;0;0;0;0;
"...4";"FA_Pos";"616033";"";28;1;3;280;;"481K28279TVL029";1;"PTFE-Faltenbalg";"NE/FK/SP Gr. 0";;1;1;1;1;1;58873;"14;07;1905";36,7;1;1;1;1;1;3060580;"FLUOR-TECH";1;36,7;0;36,7;0;
"...4";"FA_Pos";"616033";"";29;1;3;290;;"482I28282DMP029";1;"Faltenbalgträger";"NE/FK Grße 0";;0;1;1;1;1;;;;;;;;;;"";1;0;0;6,2;0;
"....5";"FA_Serie";"482I28282DMP029";"618585";;;;1;0;"";;"";"";;;1;;;;;;;;;;;;;"";1;0;0;6,2;0;
".....6";"FA_Pos";"618585";"";1;0;3;10;;"482D28282DMPFT3";1;"Faltenbalgträger";"NE/FK Grße 0";;1;1;1;1;1;58655;"14;07;1905";6,2;1;1;1;1;1;4020020;"B&P";1;6,2;0;6,2;0;
"...4";"FA_Pos";"616033";"";30;1;3;300;;"506H28379SRB059";1;"Haltering, Druckseit";"NE/FK Grße 0";;0;1;1;1;1;;;;;;;;;;"";1;0;0;0;0,69;
"....5";"FA_Serie";"506H28379SRB059";"613858";;;;1;0;"";;"";"";;;1;;;;;;;;;;;;;"";1;0;0;0;0,69;
".....6";"FA_Pos";"613858";"";1;0;3;10;;"ERRØ108x175";1;"nahtl. Siederohr";"Ø 108 x 17,5 mm";;0;13,8;2;1000;5;53548;"11;07;1905";50;1;5;5;1;1;3200550;"THYSSEN";13,8;0;0,69;0;0,69;
"...4";"FA_Pos";"616033";"";31;1;3;310;;"506F28379SRB019";1;"Haltering, Saugseite";"NE/FK Grße 0";;0;1;1;1;1;;;;;;;;;;"";1;0;0;0;2,399976;
"....5";"FA_Serie";"506F28379SRB019";"617553";;;;1;0;"";;"";"";;;1;;;;;;;;;;;;;"";1;0;0;0;2,399976;
".....6";"FA_Pos";"617553";"";1;0;3;10;;"ERRØ95x222";1;"nahtl. Siederohr";"Ø 95 x 22,2 mm";;0;33,333;2;1000;5;58092;"14;07;1905";72;1;5;5;1;1;3200550;"THYSSEN";33,333;0;2,399976;0;2,399976;
"...4";"FA_Pos";"616033";"";32;1;3;320;;"507K28288SXK019";1;"Spritzring";"FK Grße 0";;0;1;1;1;1;;;;;;;;;;"";1;0;0;0;2,16193466666667;
"....5";"FA_Serie";"507K28288SXK019";"596483";;;;1;0;"";;"";"";;;1;;;;;;;;;;;;;"";1;0;0;0;2,16193466666667;
".....6";"FA_Pos";"596483";"";1;0;3;10;;"ESTØ65A";1;"Rundstahl";"Stahl";;0;10,4;2;1000;5;59292;"14;07;1905";7,98;1;7;5;1;26,05;3200550;"THYSSEN";10,4;0;2,16193466666667;0;2,16193466666667;
"...4";"FA_Pos";"616033";"";33;1;3;330;;"511C28393STA019";1;"Zentrierring";"FK 40-25-160";;0;1;1;1;1;;;;;;;;;;"";1;0;0;6,5;0;
"....5";"FA_Serie";"511C28393STA019";"612545";;;;1;0;"";;"";"";;;1;;;;;;;;;;;;;"";1;0;0;6,5;0;
".....6";"FA_Pos";"612545";"";1;0;3;10;;"ERIØ240/120x9";1;"Ring";"Ø240/120x9mm";;1;1;1;1;1;57902;"13;07;1905";6,5;1;1;1;1;1;3230820;"WASSERMANN";1;6,5;0;6,5;0;
"...4";"FA_Pos";"616033";"";34;1;3;340;;"524K28287CHS019";1;"Wellenschutzhlse";"FK_O 40-25-160";;1;1;1;1;1;58551;"14;07;1905";19;1;1;1;1;1;4050030;"EUROCARBO";1;19;0;19;0;
"...4";"FA_Pos";"616033";"";35;1;3;350;;"552EA0128SKF000";1;"Tellerfeder";"Ø40/20,4x1,5";;0;1;1;1;1;57905;"13;07;1905";17,03;1;30;1;1;0,01;3160010;"REYHER";1;0;0,1703;0;0,1703;
"...4";"FA_Pos";"616033";"";36;1;3;360;;"554GA0130SAA000";1;"Unterlegscheibe";"A13";;0;4;1;1;1;58715;"14;07;1905";3,76;1;30;1;1;0,01;3160010;"REYHER";4;0;0,1504;0;0,1504;
"...4";"FA_Pos";"616033";"";37;1;3;370;;"554IA0170SAA000";1;"Unterlegscheibe";"A17";;0;4;1;1;1;59017;"14;07;1905";5,99;1;30;1;1;0,01;3160010;"REYHER";4;0;0,2396;0;0,2396;
"...4";"FA_Pos";"616033";"";38;1;3;380;;"554CA0105SAA000";1;"Unterlegscheibe";"A10,5";;0;2;1;1;1;;;;;;;;;;"";2;0;0;0;0;
"...4";"FA_Pos";"616033";"";39;1;1;390;;"683F31095PET019";1;"Haube, rechts und li";"FK-Gr.0";;1;1;1;1;1;;;;;;;;;;"";1;0;0;0;8,2108;
"....5";"FA_Pos";"616033";"";40;39;3;400;;"683G31095PETFT3";1;"Haube";"FK-Gr.0";;0;1;1;1;1;58840;"14;07;1905";7,95;1;1;1;1;1;3120460;"META";1;0;7,95;0;7,95;
"....5";"FA_Pos";"616033";"";41;39;3;410;;"554EA0084SAB000";1;"Unterlegscheibe";"A8,4";;0;2;1;1;1;57379;"13;07;1905";1,6;1;30;1;1;0,01;3220150;"VVE";2;0;0,032;0;0,032;
"....5";"FA_Pos";"616033";"";42;39;3;420;;"554AL0062PAM005";1;"Unverlierbarkeitssch";"";;0;2;1;1;1;58652;"14;07;1905";22,4;1;31;1;1;0,001;3020900;"BÜLTE";2;0;0,0448;0;0,0448;
"....5";"FA_Pos";"616033";"";43;39;3;430;;"901CB0008SAB012";1;"Sechskantschraube";"M8x12";;0;2;1;1;1;58336;"14;07;1905";9,2;1;30;1;1;0,01;3220150;"VVE";2;0;0,184;0;0,184;
"...4";"FA_Pos";"616033";"";44;1;1;440;;"683F31095PET019";1;"Haube, rechts und li";"FK-Gr.0";;1;1;1;1;1;;;;;;;;;;"";1;0;0;0;8,2108;
"....5";"FA_Pos";"616033";"";45;44;3;450;;"683G31095PETFT3";1;"Haube";"FK-Gr.0";;0;1;1;1;1;58840;"14;07;1905";7,95;1;1;1;1;1;3120460;"META";1;0;7,95;0;7,95;
"....5";"FA_Pos";"616033";"";46;44;3;460;;"554EA0084SAB000";1;"Unterlegscheibe";"A8,4";;0;2;1;1;1;57379;"13;07;1905";1,6;1;30;1;1;0,01;3220150;"VVE";2;0;0,032;0;0,032;
"....5";"FA_Pos";"616033";"";47;44;3;470;;"554AL0062PAM005";1;"Unverlierbarkeitssch";"";;0;2;1;1;1;58652;"14;07;1905";22,4;1;31;1;1;0,001;3020900;"BÜLTE";2;0;0,0448;0;0,0448;
"....5";"FA_Pos";"616033";"";48;44;3;480;;"901CB0008SAB012";1;"Sechskantschraube";"M8x12";;0;2;1;1;1;58336;"14;07;1905";9,2;1;30;1;1;0,01;3220150;"VVE";2;0;0,184;0;0,184;
"...4";"FA_Pos";"616033";"";49;1;3;490;;"739CB0012PVC000";1;"Schlauchnippel";"R1/2""x66";;0;1;1;1;1;58777;"14;07;1905";1,45;1;1;1;1;1;3100730;"KRAUSE";1;0;1,45;0;1,45;
"...4";"FA_Pos";"616033";"";50;1;3;500;;"864H28284PAG029";1;"Kupplungshlse";"FK 40-25-160";;0;1;1;1;1;;;;;;;;;;"";1;0;0;5,8714638;0;
"....5";"FA_Serie";"864H28284PAG029";"623397";;;;1;0;"";;"";"";;;1;;;;;;;;;;;;;"";1;0;0;5,8714638;0;
".....6";"FA_Pos";"623397";"";1;0;3;10;;"864B28284PAG02A";1;"Kupplungshlse";"FK 40-25-160";;0;1;1;1;1;;;;;;;;;;"";1;0;0;5,8714638;0;
"......7";"FA_Serie";"864B28284PAG02A";"620386";;;;1;0;"";;"";"";;;1;;;;;;;;;;;;;"";1;0;0;5,8714638;0;
".......8";"FA_Pos";"620386";"";1;0;3;10;;"ERMPA6GVØ60";1;"Rundmaterial";"Kunststoff";;1;71,429;2;1000;5;58905;"14;07;1905";82,2;1;5;5;1;1;3040660;"DUEL";71,429;5,8714638;0;5,8714638;0;
"...4";"FA_Pos";"616033";"";51;1;3;510;;"901KB0006SAA016";1;"Sechskantschraube";"M6x16";;0;8;1;1;1;53041;"11;07;1905";1,87;1;30;1;1;0,01;3160010;"REYHER";8;0;0,1496;0;0,1496;
"...4";"FA_Pos";"616033";"";52;1;3;520;;"901HB0006SAA010";1;"Sechskantschraube";"M6x10";;0;1;1;1;1;56156;"13;07;1905";1,53;1;30;1;1;0,01;3230430;"WASI";1;0;0,0153;0;0,0153;
"...4";"FA_Pos";"616033";"";53;1;3;530;;"901KB0010SAA025";1;"Sechskantschraube";"M10x25";;0;4;1;1;1;58935;"14;07;1905";15,61;1;30;1;1;0,01;3160010;"REYHER";4;0;0,6244;0;0,6244;
"...4";"FA_Pos";"616033";"";54;1;3;540;;"902CA0012SAA040";1;"Stiftschraube";"M12x40";;0;4;1;1;1;57261;"13;07;1905";29,13;1;30;1;1;0,01;3230430;"WASI";4;0;1,1652;0;1,1652;
"...4";"FA_Pos";"616033";"";55;1;3;550;;"902FA0016SAA075";1;"Stiftschraube";"M16x75";;0;4;1;1;1;59316;"14;07;1905";154;1;30;1;1;0,01;3170170;"SN";4;0;6,16;0;6,16;
"...4";"FA_Pos";"616033";"";56;1;3;560;;"902FA0012SAA035";1;"Stiftschraube";"M12x35";;0;6;1;1;1;57638;"13;07;1905";65,6;1;30;1;1;0,01;3130200;"NORM";6;0;3,936;0;3,936;
"...4";"FA_Pos";"616033";"";57;1;3;570;;"902HA0010SAA055";1;"Stiftschraube";"M10x55";;0;2;1;1;1;58030;"13;07;1905";65;1;30;1;1;0,01;3220150;"VVE";2;0;1,3;0;1,3;
"...4";"FA_Pos";"616033";"";58;1;3;580;;"903FM0014PAM000";1;"Dichtschraube";"G 1/4";;0;1;1;1;1;55206;"12;07;1905";189,7;1;31;1;1;0,001;3150450;"PÖPPELMANN";1;0;0,1897;0;0,1897;
"...4";"FA_Pos";"616033";"";59;1;3;590;;"904CG0010SSF016";1;"Gewindestift";"M10x16";;0;2;1;1;1;48741;"09;07;1905";6,8;1;30;1;1;0,01;3080610;"HILGENBERG";2;0;0,136;0;0,136;
"...4";"FA_Pos";"616033";"";60;1;3;600;;"914KC0012SAA020";1;"Zylinderschraube";"M12x20";;0;2;1;1;1;58251;"14;07;1905";41;1;30;1;1;0,01;3220150;"VVE";2;0;0,82;0;0,82;
"...4";"FA_Pos";"616033";"";61;1;3;610;;"916K21061PVC019";1;"Stopfen";"FK/NK/NE";;1;1;1;1;1;58786;"14;07;1905";1,71;1;1;1;1;1;3100090;"KERREN";1;1,71;0;1,71;0;
"...4";"FA_Pos";"616033";"";62;1;3;620;;"920CA0012SAA000";1;"Sechskantmutter";"M12";;0;4;1;1;1;58564;"14;07;1905";10,2;1;30;1;1;0,01;3230430;"WASI";4;0;0,408;0;0,408;
"...4";"FA_Pos";"616033";"";63;1;3;630;;"920AA0016SAA000";1;"Sechskantmutter";"M16";;0;4;1;1;1;59065;"14;07;1905";15,8;1;1;1;1;0,01;3160010;"REYHER";4;0;0,632;0;0,632;
"...4";"FA_Pos";"616033";"";64;1;3;640;;"920CA0012SAA000";1;"Sechskantmutter";"M12";;0;6;1;1;1;58564;"14;07;1905";10,2;1;30;1;1;0,01;3230430;"WASI";6;0;0,612;0;0,612;
"...4";"FA_Pos";"616033";"";65;1;3;650;;"920DA0010SAA000";1;"Sechskantmutter";"M10";;0;2;1;1;1;53264;"11;07;1905";4,06;1;30;1;1;0,01;3230430;"WASI";2;0;0,0812;0;0,0812;
"..3";"FA_Pos";"616033";"";66;0;1;660;;"G-900-006-A2";0;"Vorlage Grundplatten";"FM/FK 25-160 / 90L";;0;1;1;1;1;;;;;;;;;;"";1;0;0;0;137,7012;
"...4";"FA_Pos";"616033";"";67;66;3;670;;"554GA0130SAA000";1;"Unterlegscheibe";"A13";;0;4;1;1;1;58715;"14;07;1905";3,76;1;30;1;1;0,01;3160010;"REYHER";4;0;0,1504;0;0,1504;
"...4";"FA_Pos";"616033";"";68;66;3;680;;"890K30011GGB019";1;"Grundplatte";"Grße 1";;0;1;1;1;1;58530;"14;07;1905";136,72;1;1;1;1;1;4170080;"SAPAL";1;0;136,72;0;136,72;
"...4";"FA_Pos";"616033";"";69;66;3;690;;"901IB0012SAA025";1;"Sechskantschraube";"M12x25";;0;4;1;1;1;58657;"14;07;1905";20,77;1;30;1;1;0,01;3230430;"WASI";4;0;0,8308;0;0,8308;
"..3";"FA_Pos";"616033";"";70;0;1;700;;"V-N-03-02-01";0;"Vorlage Verankerungs";"Gampper D75";;0;1;1;1;1;;;;;;;;;;"";1;0;0;0;46,3792;
"...4";"FA_Pos";"616033";"";71;70;3;710;;"554IA0170SAA000";1;"Unterlegscheibe";"A17";;0;8;1;1;1;59017;"14;07;1905";5,99;1;30;1;1;0,01;3160010;"REYHER";8;0;0,4792;0;0,4792;
"...4";"FA_Pos";"616033";"";72;70;3;720;;"909K31240SAA019";1;"Stellschraube";"M16x150";;0;4;1;1;1;59143;"14;07;1905";468;1;30;1;1;0,01;3080610;"HILGENBERG";4;0;18,72;0;18,72;
"...4";"FA_Pos";"616033";"";73;70;3;730;;"920AA0016SAA000";1;"Sechskantmutter";"M16";;0;8;1;1;1;59065;"14;07;1905";15,8;1;1;1;1;0,01;3160010;"REYHER";8;0;1,264;0;1,264;
"...4";"FA_Pos";"616033";"";74;70;3;740;;"980GE0001SXB000";1;"Nivellierelement";"D75";;0;4;1;1;1;58773;"14;07;1905";6,82;1;1;1;1;1;3070400;"GAMPPER";4;0;25,916;0;25,916;
"..3";"FA_Pos";"616033";"";75;0;3;750;;"970H31036SXB069";1;"Typenschild Pumpen";"alle Typen";;0;1;1;1;1;53357;"11;07;1905";115,8;1;30;1;1;0,01;3150040;"PINTER";1;0;1,158;0;1,158;
".2";"FA_Komm";"142567";"616161";;;;1;2;"";;"";"";;;1;;;;;;;;;;;;;"";1;;;;;
"..3";"FA_Pos";"616161";"";1;0;3;10;;"233A28353PER003";1;"Linkslaufrad, halbof";"25-160";;0;1;1;1;1;;;;;;;;;;"";1;;;;;
"...4";"FA_Serie";"233A28353PER003";"622326";;;;1;0;"";;"";"";;;1;;;;;;;;;;;;;"";1;;;;;
"....5";"FA_Pos";"622326";"";1;0;3;10;;"233H28353PERFT3";1;"Linkslaufrad, halbof";"25-160";;1;1;1;1;1;;;;;;;;;;"";1;;;;;
".....6";"Teil";"233H28353PERFT3";"";;;;10;;"544D28378NKM019";1;"Gewindebuchse";"NE/FK 40-25-160";;0;1;1;1;1;51604;"11;07;1905";3,84;1;1;1;1;1;3090460;"JADATEC";1;;;;;
".2";"FA_Komm";"142567";"616162";;;;1;2;"";;"";"";;;1;;;;;;;;;;;;;"";1;;;;;
"..3";"FA_Pos";"616162";"";1;0;3;10;;"864B28284PAG02A";1;"Kupplungshlse";"FK 40-25-160";;0;1;1;1;1;;;;;;;;;;"";1;;;;;
"...4";"FA_Serie";"864B28284PAG02A";"620386";;;;1;0;"";;"";"";;;1;;;;;;;;;;;;;"";1;;;;;
"....5";"FA_Pos";"620386";"";1;0;3;10;;"ERMPA6GVØ60";1;"Rundmaterial";"Kunststoff";;1;71,429;2;1000;5;58905;"14;07;1905";82,2;1;5;5;1;1;3040660;"DUEL";71,429;;;;;
"1";"KA_Pos";"142567";"";2;;;2;;"NEGrI";0;"NE Pumpe GrI";"NEGrI";2;0;1;1;1;1;;;;;;;;;;"";1;0;0;954,139199168668;182,383931174167;0
".2";"FA_Komm";"142567";"616034";;;;2;1;"";;"";"";;;1;;;;;;;;;;;;;"";1;0;0;954,139199168668;182,383931174167;
"..3";"FA_Pos";"616034";"";1;0;1;10;;"X1P0784-055-G99";0;"Vorlage Pumpenteile";"NEPO 50-32-200";;0;1;1;1;1;;;;;;;;;;"";1;0;0;679,069199168668;85,4453311741667;
